iid,name,cat_id
1408,清风原木纯品2层180抽6包小规格抽取式面纸,489
1409,清风BWEAIAF 果漾C洁肤独立包装湿纸巾 10片,493
1410,清风10片卡通独立包装湿纸巾,493
1415,清风原木纯品3层10张10包手帕纸,495
1417,清风粉红嘟嘟两层手帕纸10包,495
1419,清风 B75AHS 单层餐巾纸 50张 纸质强韧 温柔舒适,489
1423,洁婷 WHZ206 侧吸护围棉柔夜用组合卫生巾 6片装 放心睡300mm+350mm,321
1425,七度空间 少女系列QSC7210 超薄绢爽网面夜用卫生巾10片 275mm,321
1432,洁婷微薄超薄型干爽网面日用卫生巾16片 TA616,321
1436,洁婷 WHT208 侧吸护围棉柔特长夜用卫生巾 防侧漏350mm 8片装,321
1438,高露洁  冰爽薄荷牙膏120g,365
1439,高露洁 草本牙膏200g,365
1461,黑人儿童牙膏草莓味40G 宝贝兔  有效防蛀 保护牙齿,469
1463,黑人 宝贝兔 甜橙味儿童牙膏 40g 防止蛀牙,469
1465,黑人炭丝深洁牙刷两支装,367
1468,黑人茶倍健花语白茶牙膏140g,365
1469,黑人俊朗型+柔彩型牙刷 四支优惠装,367
1470,黑人 超白矿物盐牙膏140g,365
1472,黑人 茶倍健杭菊龙井牙膏140g,365
1483,黑人 超白牙膏190g,365
1486,黑人 茶倍健龙井绿茶190g,365
1608,碧浪 专业去渍无磷洗衣粉自然清新1700g 衣物洁净清新,476
1657,佳洁士草本水晶牙膏 （清爽薄荷香型）140克,365
1666,佳洁士盐白牙膏（清凉薄荷香型）140克,365
1676,潘婷 乳液修复去屑洗发露750ml 滋润去屑,347
1694,飘柔 家庭护理兰花长效清爽去屑洗发露1000ml,347
1704,护舒宝 超值干爽贴身夜用卫生巾10片 超强吸收,321
1706,护舒宝 瞬洁丝薄日用6片/包 卫生巾 245mm,321
1707,护舒宝 超值棉柔贴身日用卫生巾10片/包 230mm 持久干爽,321
1708,护舒宝 超值干爽贴身日用卫生巾 30片 持久干爽 5倍吸收,321
1710,护舒宝 瞬洁丝薄干爽日用卫生巾 12片/包 240mm,321
1711,护舒宝瞬洁贴身卫生巾 量多日用/夜用284mm 12片,321
1716,护舒宝 超值棉柔贴身日用卫生巾20片,321
1717,护舒宝 超值棉柔贴身夜用卫生巾10片 5倍吸收 持久干爽,321
1720,佳洁士 珍珠盐白牙膏 柠檬清新 140克,365
1721,佳洁士 五彩水晶牙刷三支特惠装（软毛）,367
1726,潘婷 丝质顺滑洗发露750ML,347
1728,汰渍 净白去渍无磷洗衣粉1550g 强效洁净 持久留香,476
1734,汰渍 全效洁净 舒肤佳 洗衣液 3000ml 高效除菌 里外洁净,473
1752,汰渍 全效炫白加衣领净精华洗衣粉3000g 强效去渍,476
1789,舒肤佳 健康抑菌洗手液柠檬清新型450ml 自然芬芳,361
1824,水漾动力密集水润面膜24g*5片装 亲柔服帖 轻薄透气 密集修护 深度补水保湿,331
1855,滴露 清新柠檬衣物除菌液2.5L加送1L 超值体验 火爆促销,96870006
1959,维达 喜洋洋VW4331 卫生卷纸 145g 12卷/提,490
1992,绿晶阿胶枣227g,199
1994,正兴金梅姜丝168g,200
1996,洽洽多味瓜子260g,159
1997,洽洽香瓜子200g,159
2001,动心一族西梅100g,193
2002,格力高百醇抹茶慕斯味饼干48g,173
2007,动心一族正宗话梅75g,193
2009,众望小麻花芝麻甜味200g,176
2010,动心一族  话芒果85g,200
2013,维达 V0031 快乐泡泡钱夹式纸巾6包装,495
2015,维达 蓝色经典V4069 3层柔韧有芯卷纸 140g 柔软细滑 呵护全家,490
2022,佳宝加应子95g,193
2024,洽洽原香瓜子200g,159
2040,动心一族原味姜100g,200
2042,动心一族核桃仁150g,155
2062,德胜达绿豆精制龙口粉丝160g,290
2064,德胜达绿豆精制龙口粉丝500g,290
2086,统一来一桶红油爆椒牛肉桶面108g,259
2087,统一老坛酸菜牛肉味面五合一121g,259
2089,统一100卤肉面卤香牛肉五合一112g,259
2091,陈克明百家顺挂面1000g,292
2093,陈克明长寿面1000g,292
2094,众望小麻花奶油甜味130g,176
2100,动心一族甜话梅48g,193
2105,众望津津小麻花葱油咸味130g,176
2113,格力高双层巧克力味百利滋50g,173
2114,格力高百醇牛奶味饼干48g,173
2135,【云猴生鲜】裕湘 强力粉银丝面500g,292
2136,【云猴生鲜】裕湘 湘情面450g,292
2137,【云猴生鲜】裕湘 手擀细挂面1000g,292
2148,嘉顿香葱薄饼225g,173
2180,蜂花 柔顺护发素1000ml,349
2185,雀巢 全脂奶粉400g/袋,249
2188,陈克明香菇面1000g,292
2190,陈克明精细鸡蛋面1000g,292
2229,妇炎洁 植物本草抑菌洗液360ml 健康呵护,97020003
2230,上海香皂 硫磺皂85g,359
2281,威露士 衣物家居消毒液3L 除菌除螨,96870007
2303,无穷盐焗鸡翅65g,202
2305,【湖南特色】好棒美香鸭脖12g,202
2340,太古纯正红糖350g ,278
2342,李锦记锦珍生抽500ml,274
2359,娃哈哈 桂圆莲子八宝粥360g,213
2394,李锦记京式拌面酱170g  ,272
2395,李锦记蒸鱼豉油410ml,274
